english_text,type
"Well, shame on me or not",cholito
No one answered,cholito
Falling from a rickshaw will sprain your leg,cholito
I came to the car,cholito
Sannyasis jumped into all dangers for the country.,sadhu
"Even so, I am overwhelmed by the beauty of today",cholito
“Why are you angry?,cholito
How do you know so much?,cholito
I can't imagine what will happen if the name is Bangouchi,cholito
No one knew the king buffalo,sadhu
"Fathers want their children to become doctors, engineers, barristers",cholito
"8 Hasenbanu kissed Kasem's mouth hundreds of times and raised both hands along with everyone else and began to pray to God, “O Merciful Jagadishvara.",sadhu
I can sit for hours A little because there is no reclining mechanism in Benzies,cholito
Reena Bhabhi's brother returned with news from the police station at one in the morning,cholito
” A beautiful smile could not be kept - the source of the juice is springing rose-_Hamir's fountain's mouth you ran'-_the young woman fell down laughing.,sadhu
Who knows what's inside,sadhu
Your tears make me cry.,cholito
"Remember, don't hate the disease",cholito
Nanda got up,sadhu
I have divorced him for a long time and abandoned him,sadhu
"Oh, who has hurt such a golden body so mercilessly",sadhu
One day Kased of Kufa city appeared in Madinah,sadhu
"I don't know, but I am about the ability to get inside people's heads",cholito
Many beautiful memories were made together today.,cholito
Part II Sandhya Jayanti Chapter One Sitaram Prathamavadhi had made many inquiries of Sri,sadhu
Everyone in our house eats breakfast together in the morning.,cholito
"From its manuscript a Genuite named Kakra (08690) plagiarized it and published a French translation, abbreviated but mixed with other material (1705 and 1715 in Sristab, Chui Khanda).",sadhu
"He must have said with a happy voice like Jibanananda - Himu Sahib, that's it",cholito
He did not get me and gave it to Ira,cholito
"""Why not sell?""",cholito
I could not stand the smell of rotten fish.,sadhu
"If you know, you won't be so hungry",sadhu
Complaining to the king will get mercy,sadhu
Now I want to learn something new.,cholito
“Invitation to dinner.”,cholito
Be happy with everyone.,cholito
"In consideration, I saw that it was really an illusion",cholito
"If you love everyone, the world seems very beautiful.",cholito
Fell on the bed,cholito
Bloody face is the cause of redness,sadhu
This Artambar is bound by the unbreakable eternality of the quadrilaterals,sadhu
Joy mavaniki fear,sadhu
"At the end of the people, I am from their Agdina. Arrived at the eastern border of Tirotab",sadhu
I will make you happy too,cholito
I am sending him next Saturday,cholito
From moment to moment Meghdoot reads Anshad's gatha in Guru Guru's roar,sadhu
“You are being pressured to falsify the case,cholito
It is true that you will not lose your life if Dast Karbala does not take place - but how will you be saved from the attack of Ajid?,sadhu
I also would not have stepped forward to preach steadfastly during this nationwide outrage,sadhu
“I'll pick you up at exactly four forty minutes,cholito
Fulfill your dreams.,cholito
"I said calmly, Sir, the matter is what holy blood is contained in the vessel",cholito
"""Opportunities don't come often",cholito
I am for him,cholito
If I go to the gate of the jail and say - I belong to former minister Mubarak Hossain,cholito
) accepted the dust and raised the issue of publication of Zeyad's correspondence and his visit to the city of Kufa.,sadhu
“At noon your friend came; Rafiq Mr,cholito
"""I have come to this place today,"" said the judge.",sadhu
I was ready to hear the last part of the peacock's story,cholito
"If the dead bodies of these twin brothers can be found, complete my orders with proper burial and after-effects as desired and inform me of the completion of the work.",sadhu
I wanted an omelette,cholito
Is this his first child?,cholito
"""He didn't break his leg for a while",cholito
"Only this question arises in my mind, how can I protect my right to this wonderful existence",sadhu
Not right sir,cholito
They will not think again that we are pushing,cholito
"Kauchar Mia He didn't stop shouting, ran out of the store and fell on his feet",cholito
I feel pretty sure,cholito
"Which happily said, I don't want to make bread now",cholito
All of our thoughts will meet in his cabinet and his order will be heard from house to house in Bangladesh as the order of all of us,sadhu
I'm thinking fast,cholito
Himu are you trying to joke with me,cholito
"To truly, deeply aim at the permanent well-being of the country, one has to free oneself from this petty instinct.",sadhu
He was not confused,cholito
Realizing through the samanta events of life brings a peace within the soul,sadhu
"Even if it is partly cloudy, it is not usually so dark that the shape of the school can't be seen in the dark.",sadhu
News was sent to the king,sadhu
"(Ajid started looking at Chaturi, but did not see anyone",sadhu
"He said, ""But it was written with your consent",sadhu
"Deeply engrossed, as far as the eye can see, the horizon of the earth's surface fills -_ From the death of the world, the waves of life bring me to my heart.",sadhu
"The gentleman applying the nail polish said in a bored voice, the smile, the movement",cholito
It must be mentioned at once that Mughal Barlah was in great company with Rasingh.,sadhu
There is no one else in this world who can argue with him,sadhu
Cousin's name is Anufa,cholito
I have never seen anyone with a stony body like yours,sadhu
"Tarkalaskar went to Thakur, the elder went to Rani, ran away with a cheek",sadhu
I don't know what Vatsa Ananda is,cholito
My life is lost in the midst of this calm and deep nature.,sadhu
Marriage will cure all diseases,cholito
We regret,sadhu
"A high-ranking official told the king in a friendly manner that he requested the government to give you a higher title. To this, Tejanvi Raja replied, ""You can call me Ranja, Babu, whatever you want, but don't give me a title which",sadhu
"The emperor of China, the king of Persia * [058 1551588280--70 Hu, 0985 881. 108 Rajasingha, which he would not have enjoyed against the king of this small kingdom, enjoyed it.",sadhu
"And calling Dhaha a protector, he himself became the godfather of the police.",sadhu
My longe shen no dans dasi la bai ”9,sadhu
I asked Badrul Saheb how long to wait for the job,cholito
"In the universe, attraction and repulsion, centripetal and centrifugal forces are mutually antagonistic, yet under the rule of one law, and the strange mind is distorted.",sadhu
"He said, ""Maharajadhiraj.""",sadhu
"” Someone says, “Haribol",sadhu
Why do you interfere in my personal affairs?,cholito
"They saw that it had teeth like fangs, hair like ears, beak like a barkosh, a tongue like a crocodile, breasts like a flowing web, breath like a thundercloud, and a completely torn field to call.",sadhu
"I ignored him and said,",cholito
"Neelu said, 'Father, you go to sleep, I am",cholito
"Nanda, greatly frightened, offered his prayers to Chatdar Tagore",sadhu
” Lu) (Vashiva) “For one the world of Karsha of Dilishvara is no11” omitted,sadhu
can't do,cholito
I sometimes wonder what in the world you have,cholito
It is not possible to know any girl completely,cholito
Today was really important.,cholito
A girl who knows how to study is rare,cholito
Do you work in an office?,cholito
"I looked at the gentleman and said, “Yours",cholito
I won't go into all those future fears,sadhu
"Jaigun said in a shy manner, time does not pass, for this every three to four hours",cholito
Dhaka falls on the present,sadhu
Never go to bed before midnight,cholito
The night will not be long,cholito
"And Uddesh, you will come to know Begumdig",sadhu
"Ranu raised hi Anis said, ""Now tell me your dream-narrative.""",cholito
". They can walk, but they no longer have the fear of harm",sadhu
But going to ancestral home is the same as going to Delhi,sadhu
"Admittedly, however, my sixty-something assertions about rigor are the ramblings of a hiker's notebook.",sadhu
dropped; And everyone ran away,sadhu
I do nothing all day,cholito
I hum__ rules,cholito
"If you are afraid of detective work, don't go Musa, take courage.",cholito
