sentence,type
এই ছবি আমি তোমার খাটের পেছনের দেয়ালে লাগিয়ে দেব,cholito
"হলো | আমার ধারণা, প্রায়ই সে হেনার কথা বলে রিনকিকে কীদাবে",cholito
উত্তপ্ত হয়ে ওঠে নি,sadhu
“বাড়িতে কি সব সমস্যা না-কি আছে,cholito
এ না হইলে ঢালু পথ দিয়া আমাদের ছোট ছোট সামর্থ্য ও সম্বলের ধার,sadhu
কালাম সাহেব বিনয়ী গলায় বললেন__ রূপা ম্যাডামের সঙ্গে কথা,cholito
"ইয়াকুব সাহেব আমার দিকে তাকিয়ে বললেন, সিগারেট কি",cholito
গত পরশুই আপনাকে ছেড়ে দেবার কথা,cholito
"এখন নিশ্চয়ই বুঝিলেন, হাসানের ভালবাসা আন্তরিক নহে;-আন্তরিক হইলে এরূপ ঘটিত না",sadhu
আমার পক্ষে সেই হুকুমই যথেষ্ট,sadhu
বলেন তাই নাকি হয়,cholito
বৈষম্য বিরোধী ছাত্র আন্দোলন আজকের দিনে আরও শক্তিশালী হয়ে উঠেছে। 📢,cholito
ম্যাজিস্ট্রেট জিজ্ঞেস করেছে-_- এই কি আপনাকে গুলি,cholito
"হাসানের প্রাণ, পবিত্র ভূমি মদিনার স্বাধীনতা এবং ধর্ম রা করিতে ভ্রাতা, পত্র ও স্বামীহারা হইলে আমরা কাতর হইব না৷ এলাহি",sadhu
"দেখিয়াছিলেন, সেটা কি বিভীষিকা",sadhu
"রাত নটা পর্যন্ত তুমি এদের নিয়ে ঘুরবে,",cholito
গেল-_ তারপরেও আমি তাকিয়ে রইলাম | তারপর হঠাৎ দেখি মেয়েটা দাড়িয়ে,cholito
ভোরবেলা যে পাখি ডাকে তার নাম কাক,cholito
"হিমু ভাই, তুমি কি আমার একটা রিকোয়েস্ট রাখবে",cholito
জানে এই জাতীয় মেয়েদের সঙ্গে তারা কখনোই খুব ঘনিষ্ঠ হতে পারবে না,cholito
প্রভাত হইতে লোক আসিতে আরম্ভ করিল,sadhu
আবদুল ওহাবের পদাঘাতে কি কিছুমাত্র বল নাই,sadhu
ব্যারোমিটারের কাটা দ্রুত নামছে,cholito
আর আপনি দুঃশ্চিন্তা করবেন না,cholito
"এরূপ ভয়ানক যুদ্ধের উদ্ভোগ . করিলেন যে, তিনি কখন এমন আর করেন নাই",sadhu
তাকে জানানো দরকার যে প্রজেক্ট,cholito
আমি উহার বিবাহের সাধ মিটাইব,sadhu
তোমার কাছে কি কিছু আছে?,cholito
"আমি গভীর গলায় বললাম, জগতের যাবতীয় কঠিন কাজই আপাতদৃষ্টিতে খুব",cholito
"গুনিয়াছি, আমার স্বামী রাজা হইয়াছেন",sadhu
"কিন্ত সে ঘটনায় হাসানের অপরাধ কি, সে মীমাংসা স্বয়ং জয়নাবই করিয়াছে",sadhu
"সর্বিচারকের প্রতি বিশ্বাস করিয়া তাঁহাকে বিচারের ভার দিয়া বৃদ্ধকে ছাড়িয়া দাও, এই আমার প্রার্থনা",sadhu
আমি নিয়ম মেনে চলি না,cholito
"“ও আসে নি, আমি একাই এলাম",cholito
"ফোরাতকুলে যাইয়া দেখিল, রক্ত আর বালিতে জমাট বাঁধিয়া একস্থানে চিহ্নিত হইয়া রহিয়াছে",sadhu
করছে না,cholito
"কী উপায়ে পিতৃহীন বালক দুটির প্রাণ রক্ষা হইতে পারে, তাহারই সুযোগ-সুবিধা খুঁজিতেছেন, চিন্তা করিতেছেন",sadhu
ঘাম বাহির হইতে লাগিল,sadhu
রোডে নামিয়ে দিন,cholito
ভাণ্ডারী স্ত্রীকে পৌছাইয়া দিয়,sadhu
"চলুন না, নিজের চোখে দেখবেন",cholito
আমি আর কয়দিন বাঁচিব,sadhu
মাথাও তোলে না,cholito
"নিরপরাধ দুই এতিমকে বাদশার হাতে দিলে, সে নিষ্ঠুর পাষাণপ্রাণ শাহ জেয়াদ কী তাহাদিগকে প্লেহ করিয়া যত্রে রাখিবে",sadhu
সবাই ভাবছে আমি যাচ্ছি,cholito
“আসলে মামলার কথাতে নেচে ওঠাটা৷ আপনার ঠিক হয়নি,cholito
"1 নবৰকুমাঁর কহিলেন, “এ পর্য্যন্ত প্রভুর দর্শনে কি জন্য বঞ্চিত ছিলাম",sadhu
মানুষ না-_- যেন কফিন থেকে বের করা মিশরের,cholito
"সবাইকে ক্ষমা করা শিখুন, শান্তি পাবেন।",cholito
হোসেন স্বয়ং না আসিয়া দূত পাঠাইবার কারণ কি,sadhu
আমিই সম্ভবত একমাত্র ব্যক্তি যে কথা,cholito
হাসানের প্রাণ রক্ষা কর,sadhu
""" রানু জবাব দিল না",cholito
আমার আর বলিবার কিছুই নাই,sadhu
একটু যুদ্ধ হইলেন,sadhu
গেটের দারোয়ানকে জিজ্ঞেস করলাম,cholito
"হু, কি যেন তোমার নাম",cholito
মানসী পত্রের প্রত্যাশা চিঠি কই,sadhu
"দ্বিতীয়বার দেখা হলে আমাকে যেন বলতে না হয়__আমি হিমু, হিমালয়",cholito
আজকের রাতটা যেন এক অজানা মায়াবী রহস্য।,cholito
এই নির্ভর এবং এই বিদ্বেষ দেখিতে যেন পরম্পর বিপরীত ব্লিয়,sadhu
"এ রূত্ব ফিনিবাঁর জন্য ""কি ধননা",sadhu
"কিন্তুতুমি দয়া করিয়া আমাকে কেবল প্রাণে বীচাইবার জন্ত যে, এক দিন আমাকে সঙ্গে লইয়া",sadhu
"পিঁপড়ার মত এত ক্ষুদ্র প্রাণীর খাওয়ার ব্যবস্থা আছে, আর মানুষের থাকবে না",cholito
আর আমি খুলব সিডি কোম্পানি,cholito
"শ্রী বলিত, কত পর্বতের কথা, কত অরণ্যের কথা, কত বন্য পশু পক্ষী ফল মূলের কথা, কত যতি পরমহংস ব্রহ্মচারী কথা, কত ধর্ম অধর্পা, কর্ণ অকর্মের কথা, কত পৌরাণিক উপন্যাসের কথা, কত দেশবিদেশী রাজার কথা, কত দেশাচার লোকাচারের কথা",sadhu
রক্তদর্শনে হোসেন চমকিয়া উঠিলেন,sadhu
"আজ মহারাজ এজিদ নবীন রাজদণ্ড হস্তে করিয়াছেন, আজই একটি গুরুতর বিচার ভার ইহাকে বহন করিতে হইতেছে",sadhu
"স্বার্থ বিস্বত ছইবে না, ইহাঁও শ্বাভাবিক 1 অতএব সর্ধপ্রবর্ধে আমা” দিগকে এমন একটি শ্বদেশী কর্মক্ষেত্র গড়িয়া তুলিতে হইবে, যেখানে স্বদেশী রিভালয়ের শিক্ষিতগণ শিক্ষকতা, পুর্তকার্ধ্য, চিকিৎসা প্রভৃতি দেশের বিচিত্র মঙ্গলকর্দ্ের ব্যবস্থায় নিষুক্ত থাঁকিবেন",sadhu
