sentence,label,source
""" ""The great man has told us to go to Bhairavibesha",sadhu,Book
"You are my right hand, you are my only hope",sadhu,Book
,cholito,Book
No one is allowed to enter that room,cholito,Book
"Dalgati said, ""What else will happen in the paper -_ Take it away",sadhu,Book
"He said, ""I will tell you in the morning"" - Chachalkumari's eyes watered a little; He said to himself, ""Nirdal also left me",sadhu,Book
,sadhu,Book
"Good thing, go to Chandraya and see Zochana, so you have to sit all night",cholito,Book
Then the bullying started,cholito,Book
Your body is fine,cholito,Book
"I'm just going on vacation with a straw audience, I'm not going to stop anywhere for half a blink.",sadhu,Book
Why will you poison me with sycophancy?,sadhu,Book
But no one can meet me,cholito,Book
He slept for six months,cholito,Book
I will wake up to the tone Give me that ear,sadhu,Book
He is very surprised,cholito,Book
"""Kasem said, ""Whatever you say, you don't have to take up arms because Kasem's soul is in his body.",sadhu,Book
Dog tails and love,cholito,Book
,cholito,Book
"This is not the work of man, - robber",sadhu,Book
You will be my buffalo,sadhu,Book
"He was very upset. I said to the OC sir, do you know a funny thing, OC sir",cholito,Book
I never spoke about him to Maharaj: or I never spoke about Maharaj to him,sadhu,Book
I'm trying to help you,cholito,Book
I don't eat chicken for a long time,cholito,Book
Everyone looked at Hussain,sadhu,Book
"Aunt came out of the kitchen and said in surprise, what's the matter, you didn't go to the office",cholito,Book
A card game was going on in the room next to mine,cholito,Book
Army came down - started heavy beating,cholito,Book
Smells similar to cannabis syrup,cholito,Book
"Seeing this, all the people began to wail in unison, saying, ""Maharaj",sadhu,Book
That's why it's sure to be Shreyohhamapruam. Bhivagabanbach lokehsmin chibidha nishtha pura prokta mayangh,sadhu,Book
"115 everywhere, he did not read to see who he was; He looked into his heart and saw--so he could not see Navakumar, but why would Lutf+-unnisar-suppress the path of happiness.",sadhu,Book
,sadhu,Book
How many of the members are beggars?,cholito,Book
"I mean 'Pastha Devasya Kavyam*, look at the poetry of God in human form",sadhu,Book
,sadhu,Book
At that moment there was hardly any crowd of people in Sshuram's vision: the path was filled with all the vines.,sadhu,Book
I took the key and opened the door and ran downstairs,cholito,Book
"I hold big meetings, I write in newspapers, it is very difficult to digest mangoes, it is digested in the end.",sadhu,Book
"The commandments of the Father are always to be kept--when He is, still to be kept--when He is in heaven, still to be kept.",sadhu,Book
Maniklal was introduced,sadhu,Book
A driver of a car got scared and twisted his ankle while trying to reverse the car,cholito,Book
"She is a resident of Kailasa, a companion of Bhavani Bhavani, her name is Vishalakshi",sadhu,Book
"He came and said, ""Aji Shadi also Ibbanchik Din Nakhche - that's why there is no world in marriage.""",sadhu,Book
Anthanti also talked about how the battle of Rupnagar was fought,sadhu,Book
The mind should be calmed,cholito,Book
,cholito,Book
,cholito,Book
,cholito,Book
,cholito,Book
"""The new youths started to say, ""If I saw Kased of Damascus once, I would send him away with the money of Madinah.",sadhu,Book
,cholito,Book
,sadhu,Book
- The monk bowed to him and left the cave,sadhu,Book
Udipuri will have to be sent a letter of invitation,sadhu,Book
Take a look,sadhu,Book
"Marwan secretly goes to the old woman's bed before the regular time to find out the whole situation, and if there is any doubt about the old woman's words, he will go and wait for the old woman.",sadhu,Book
"Earlier, Sitaram was able to leave the kingdom",sadhu,Book
Maymuna too was afraid of him,sadhu,Book
,cholito,Book
It seems that Mayurakshi river has to be taken out,cholito,Book
", the conversation has matured",cholito,Book
,cholito,Book
Therefore well-educated Pathans from Murshidabad or Behar or western regions were appointed to Anai,sadhu,Book
The king also knows me,sadhu,Book
Masters seem to want the same,cholito,Book
It's a strange thing to make up,cholito,Book
,sadhu,Book
It's as if illusion has come into the face,cholito,Book
,sadhu,Book
Not for heroes,sadhu,Book
The thought of how to capture Hussain and hand him over to Azid as a prisoner is very strong.,sadhu,Book
"If you want, you can get the man out in three days",cholito,Book
He was going in his private rickshaw,cholito,Book
"Aji where he was for how long, I did not say",sadhu,Book
"Aunt, here I will get down",cholito,Book
,sadhu,Book
,cholito,Book
Traveling to America riding on the shoulders of his wife like the ghost of Sindabad,cholito,Book
,cholito,Book
Why will there be news in the paper?,cholito,Book
No petrol towards them brother,cholito,Book
I will manage them,cholito,Book
I will not take no,cholito,Book
Do you believe in the various supernatural powers that people hear about?,cholito,Book
You will leave immediately,cholito,Book
I am giving the funny news now,cholito,Book
,cholito,Book
,cholito,Book
,cholito,Book
I didn't do anything,cholito,Book
,sadhu,Book
"He said sternly, please don't lie",cholito,Book
but for whom,sadhu,Book
"My command is to kill the two Muslim sons, and take the heads of these two boys with honor to the Forat clan.",sadhu,Book
"After that, this feeling has appeared again and again in my works - the appearance of the infinite in the guise of this conflict-death in life, what kind of union is this? There is no Mangalacharan",sadhu,Book
I did not explain the matter,cholito,Book
,cholito,Book
,sadhu,Book
A person outside the house by Jamvibyanchanari - . 96 7,sadhu,Book
"Do not get up, then you will understand that there is no benefit without gaining strength and without unity it is impossible, when you know that if we continue to divide the identity of the country in which we were born, the religion will be destroyed and if the religion is destroyed, then we will never be able to protect the stability.",sadhu,Book
"And whom shall I send in front of Kasem on the battlefield, send",sadhu,Book
"Inside the field is only a sea of ​​black heads - Thedathesi, Mishimishi",sadhu,Book
,cholito,Book
Next to Imrul stands Asma Mevam with angry face (hypocritical anger) with her hands on her waist,cholito,Book
"He is willing to go anywhere, not willing to visit me in the hospital",cholito,Book
"Then Yasmin came and said, you stop feeding the girl",cholito,Book
But he must have been wary if he fell into Hasnebanu's eyes,sadhu,Book
"What Zayda never thought of, someone also mentioned it",sadhu,Book
What would an ideal citizen of Bangladesh do?,cholito,Book
Qasem hurried out of the camp and mounted his horse at one hundred paces and gave the horse a vigorous kick.,sadhu,Book
,cholito,Book
,cholito,Book
"Bahar Petition or Proteit., Love or Quarreling, the frequent running on the streets of Rajbari is said to be the main entertainment of the country.",sadhu,Book
We did not know our name,cholito,Book
I can use it after purifying it by the connection of heat,sadhu,Book
,sadhu,Book
,sadhu,Book
-He drank the water to his heart's content,sadhu,Book
,cholito,Book
,cholito,Book
"Go, see Sakhina's plight",sadhu,Book
,sadhu,Book
"""Tell me the address where you are",cholito,Book
,sadhu,Book
"Anandamaynishi-In Jagran, ink does not fall under the eyes",cholito,Book
You have to break that slavery chain,cholito,Book
"Parsukhbhavar se nako ar, the body is lying on the vine, still I come to be stony-_ very harsh",sadhu,Book
"The news of Madinah is going to Damascus, the news of Damascus is coming to Madinah",sadhu,Book
,cholito,Book
Not leaving me,cholito,Book
,sadhu,Book
"He said, Himu knows that someone is waiting for him",cholito,Book
Before that we formed Mazda Music Academy,cholito,Book
Zaheer's mission will take three months to complete,cholito,Book
Their house is completely silent,cholito,Book
,sadhu,Book
"No, there are still twenty minutes",cholito,Book
Chopdar and sepoys surrounded it,sadhu,Book
There is no one to eat,cholito,Book
They are not able to make a deep mark on the earth,sadhu,Book
,cholito,Book
,sadhu,Book
"In that battle field, between the two armies, the Aussie was raised and the Chanchalakumari stood still and did not move.",sadhu,Book
,cholito,Book
He did not say anything to anyone. Some stayed in fraternity houses,sadhu,Book
Honoring the dead traveler,cholito,Book
,cholito,Book
Sulaiman put out his head,cholito,Book
How many days does life last in life?,sadhu,Book
read But that may not be entirely true,sadhu,Book
"Khubak said, ""Sir, do not speak to a scholar who wants to be Agadishwar's temple - how can a fool speak?""",sadhu,Book
,sadhu,Book
,sadhu,Book
,cholito,Book
I am praying that you too pray to the Father of the Universe to destroy the enemy and save you.,sadhu,Book
I don't like animals,cholito,Book
The housewife saw her husband unconscious in deep sleep,sadhu,Book
,cholito,Book
Mechkander walked towards the rock,cholito,Book
Why don't you want to hear,cholito,Book
Is ten o'clock too late?,cholito,Book
Gamanavadhi Hirgyi Akat in Pitrgunhe,sadhu,Book
Do you understand more than men 1 Why fear when they say there is no fear,sadhu,Book
Raga climbed on top of him,sadhu,Book
They are trying to give Sita by holding the banana tree,cholito,Book
,sadhu,Book
"What was going to be said, Sitaram caught him and said, ""I have the rest of my words.""",sadhu,Book
Now before anything else order Gangaram to be bound and brought,sadhu,Book
8 1//////. 3230015. 0011 Kasem's eyes suddenly closed,sadhu,Book
Die __ until you are imprisoned,sadhu,Book
Mechkander is looking at me,cholito,Book
Tatarjatiya Sundari- Gana was a guard in the siege of the Mughal emperor,sadhu,Book
,sadhu,Book
,sadhu,Book
The hope of seeing the red-hot Adharoshta again and again is always strong,sadhu,Book
He came to bed again,sadhu,Book
,cholito,Book
"The astrologer said, ""Marry any princess."" Mubarak said, ""What will happen if that happens?""",sadhu,Book
It is available everywhere,sadhu,Book
Dad's training came in handy,cholito,Book
I will have to bring this head down to the place where I have to bow my head,sadhu,Book
"Ice bowl, cold water, peanuts with vinegar on plate",cholito,Book
